code,resume,gamme,des,qte_u,qte_reg,des,contrôle
FD30SB2C0012,903C4X40,EP100 300mA,4X40A,1,1,Disjoncteur Diff. 4X40A EP100 10KA CC 8M 300mA,c
FD30SB2C0013,903C2X50,EP100 300mA,2X50A,1,3,Disjoncteur Diff. 2X50A EP100 10KA CC 4M 300mA,c
FD30SB2C0014,903C4X50,EP100 300mA,4X50A,1,1,Disjoncteur Diff. 4X50A EP100 10KA CC 8M 300mA,c
FD30SB2C0015,903C2X63,EP100 300mA,2X63A,1,3,Disjoncteur Diff. 2X63A EP100 10KA CC 4M 300mA,c
FD30SB2C0016,903C4X63,EP100 300mA,4X63A,1,1,Disjoncteur Diff. 4X63A EP100 10KA CC 8M 300mA,c
FD30SB2D0017,903D2X10,EP100 300mA,2X10A,1,3,Disjoncteur Diff. 2X10A EP100 10KA CD 4M 300mA,c
FD30SB2D0018,903D4X10,EP100 300mA,4X10A,1,2,Disjoncteur Diff. 4X10A EP100 10KA CD 6M 300mA,c
FD30SB2D0019,903D2X16,EP100 300mA,2X16A,1,3,Disjoncteur Diff. 2X16A EP100 10KA CD 4M 300mA,c
FD30SB2D0020,903D4X16,EP100 300mA,4X16A,1,2,Disjoncteur Diff. 4X16A EP100 10KA CD 6M 300mA,c
FD30SB2D0021,903D2X20,EP100 300mA,2X20A,1,3,Disjoncteur Diff. 2X20A EP100 10KA CD 4M 300mA,c
FD30SB2D0022,903D4X20,EP100 300mA,4X20A,1,2,Disjoncteur Diff. 4X20A EP100 10KA CD 6M 300mA,c
FD30SB2D0023,903D2X25,EP100 300mA,2X25A,1,3,Disjoncteur Diff. 2X25A EP100 10KA CD 4M 300mA,c
FD30SB2D0024,903D4X25,EP100 300mA,4X25A,1,2,Disjoncteur Diff. 4X25A EP100 10KA CD 6M 300mA,c
FD30SB2D0025,903D2X32,EP100 300mA,2X32A,1,3,Disjoncteur Diff. 2X32A EP100 10KA CD 4M 300mA,c
FD30SB2D0026,903D4X32,EP100 300mA,4X32A,1,2,Disjoncteur Diff. 4X32A EP100 10KA CD 6M 300mA,c
FD30SB2D0027,903D2X40,EP100 300mA,2X40A,1,3,Disjoncteur Diff. 2X40A EP100 10KA CD 4M 300mA,c
FD30SB2D0028,903D4X40,EP100 300mA,4X40A,1,1,Disjoncteur Diff. 4X40A EP100 10KA CD 8M 300mA,c
FD30SB2D0029,903D2X50,EP100 300mA,2X50A,1,3,Disjoncteur Diff. 2X50A EP100 10KA CD 4M 300mA,c
FD30SB2D0030,903D4X50,EP100 300mA,4X50A,1,1,Disjoncteur Diff. 4X50A EP100 10KA CD 8M 300mA,c
FD30SB2D0031,903D2X63,EP100 300mA,2X63A,1,3,Disjoncteur Diff. 2X63A EP100 10KA CD 4M 300mA,c
FD30SB2D0032,903D4X63,EP100 300mA,4X63A,1,1,Disjoncteur Diff. 4X63A EP100 10KA CD 8M 300mA,c
FD30SB3C0001,906C2X10,EP100 300mA,2X10A,1,3,Disjoncteur Diff. 2X10A EP250 25KA CC 4M 300mA,c
FD30SB3C0002,906C4X10,EP100 300mA,4X10A,1,2,Disjoncteur Diff. 4X10A EP250 25KA CC 6M 300mA,c
FD30SB3C0003,906C2X16,EP100 300mA,2X16A,1,3,Disjoncteur Diff. 2X16A EP250 25KA CC 4M 300mA,c
FD30SB3C0004,906C4X16,EP100 300mA,4X16A,1,2,Disjoncteur Diff. 4X16A EP250 25KA CC 6M 300mA,c
FHTIS81C0001,160C2X80,HTI 162,2X80A,0,6,DISJ. HTI 2X80A 16kA CC 3M,c
FHTIS81C0002,160C2X100,HTI 162,2X100A,0,6,DISJ. HTI 2X100A 16kA CC 3M,c
FHTIS81C0003,160C2X125,HTI 162,2X125A,0,6,DISJ. HTI 2X125A 16kA CC 3M,c
FHTIS81C0004,160C3X80,HTI 163,3X80A,0,4,DISJ. HTI 3X80A 16kA CC 4.5M,c
FHTIS81C0005,160C3X100,HTI 163,3X100A,0,4,DISJ. HTI 3X100A 16kA CC 4.5M,c
FHTIS81C0006,160C3X125,HTI 163,3X125A,0,4,DISJ. HTI 3X125A 16kA CC 4.5M,c
